datetimes,Grupo de edad,dead,icu_total,icu_original,icu_gamma
2021-04-12,40-49,7.0,18.331828933865488,6.188411715768245,12.143417218097238
2021-04-13,40-49,6.428571428571429,18.76933768581686,6.183793798540446,12.585543887276406
2021-04-14,40-49,5.428571428571429,19.19988143772239,6.175641518852447,13.024239918869952
2021-04-15,40-49,6.0,19.622792018104338,6.163917382548025,13.458874635556331
2021-04-16,40-49,6.285714285714286,20.037259988628723,6.148571839891956,13.88868814873679
2021-04-17,40-49,6.285714285714286,20.442277704095112,6.129533668324417,14.312744035770685
2021-04-18,40-49,6.571428571428571,20.836693328812398,6.106720440951236,14.729972887861175
2021-04-19,40-49,7.0,21.219310170148137,6.080057203546599,15.139252966601546
2021-04-20,40-49,7.285714285714286,21.588976799358385,6.0494933924617875,15.539483406896638
2021-04-21,40-49,7.857142857142857,21.944650146240082,6.015013813736758,15.929636332503348
2021-04-22,40-49,7.142857142857143,22.28546020009443,5.976646679398989,16.308813520695438
2021-04-23,40-49,7.0,22.610811784460413,5.934474036841347,16.67633774761909
2021-04-24,40-49,7.142857142857143,22.920503976128845,5.888642616674523,17.031861359454318
2021-04-25,40-49,6.714285714285714,23.2147810595196,5.839365605896036,17.375415453623557
2021-04-26,40-49,5.857142857142857,23.494221551349913,5.786904147800471,17.707317403549435
2021-04-27,40-49,6.142857142857143,23.75946362805904,5.731530038362691,18.02793358969641
2021-04-28,40-49,6.571428571428571,24.010872775414963,5.673482190411168,18.33739058500381
2021-04-29,40-49,6.857142857142857,24.248320663483547,5.6129372765297845,18.635383386953773
2021-04-30,40-49,6.857142857142857,24.47118842120321,5.550007391196581,18.921181030006622
2021-05-01,40-49,6.571428571428571,24.67857431098034,5.484762554971224,19.193811756009104
2021-05-02,40-49,6.285714285714286,24.869573606565094,5.417262115159276,19.452311491405837
2021-05-03,40-49,7.285714285714286,25.043490852810773,5.347579567698739,19.695911285111983
2021-05-04,40-49,7.142857142857143,25.199918197894814,5.275813122694006,19.924105075200806
2021-05-05,40-49,7.0,25.338708311332805,5.202083800044687,20.13662451128817
2021-05-06,40-49,6.714285714285714,25.45994933942277,5.126532806215405,20.33341653320738
2021-05-07,40-49,6.571428571428571,25.56402216657797,5.049325872683747,20.514696293894207
2021-05-08,40-49,6.571428571428571,25.65171577734187,4.970663267435117,20.681052509906753
2021-05-09,40-49,7.428571428571429,25.724301396863577,4.8907852845868325,20.833516112276747
2021-05-10,40-49,7.285714285714286,25.783500089531557,4.80996771678968,20.973532372741886
2021-05-11,40-49,7.0,25.831356330041586,4.7285074876954525,21.10284884234608
2021-05-12,40-49,6.857142857142857,25.870091808610418,4.646707598591199,21.223384210019198
2021-05-13,40-49,6.714285714285714,25.902025358914376,4.56486592915337,21.337159429760995
2021-05-14,40-49,6.714285714285714,25.929597336323727,4.483274496952081,21.446322839371675
2021-05-15,40-49,6.857142857142857,25.955427498741244,4.402222762502812,21.553204736238484
2021-01-01,50-59,1.8163265306122451,7.282627989250886,7.282627989250886,0.0
2021-01-02,50-59,1.6734693877551021,7.386646027029985,7.386646027029985,0.0
2021-01-03,50-59,3.0,7.4913022493302055,7.4913022493302055,0.0
2021-01-04,50-59,4.0,7.595690052541309,7.595690052541309,0.0
2021-01-05,50-59,4.428571428571429,7.701253749826458,7.701253749826458,0.0
2021-01-06,50-59,4.857142857142857,7.811101483813729,7.811101483813729,0.0
2021-01-07,50-59,7.0,7.929187505523114,7.929187505523114,0.0
2021-01-08,50-59,7.0,8.05926999603117,8.05926999603117,0.0
2021-01-09,50-59,7.0,8.20421268869263,8.20421268869263,0.0
2021-01-10,50-59,6.142857142857143,8.365667512796557,8.365667512796557,0.0
2021-01-11,50-59,6.0,8.544055566785529,8.544055566785529,0.0
2021-01-12,50-59,6.142857142857143,8.738713414765467,8.738713414765467,0.0
2021-01-13,50-59,6.142857142857143,8.948016205992223,8.948016205992223,0.0
